geschlecht,alter_monate,fachscore,interview,erfahrung_jahre,karriere_luecke_monate,eingestellt
1,397,59.1,71.1,2.0,3.4,1
0,434,70.6,51.8,7.9,21.5,1
1,370,44.6,53.4,3.4,10.8,0
0,240,75.3,68.1,0.0,12.4,1
1,291,67.0,49.3,0.0,14.4,1
0,240,40.2,48.3,0.0,12.3,0
0,240,78.1,77.9,0.0,23.2,0
0,313,93.5,73.3,2.4,18.6,1
0,615,75.0,69.0,11.0,16.0,0
0,451,81.4,73.9,10.2,16.4,1
1,611,61.3,30.3,13.7,5.9,0
0,505,35.1,80.3,12.0,18.8,0
1,550,32.3,65.9,11.0,2.3,0
0,348,63.8,75.2,1.3,17.1,1
0,519,51.1,65.8,10.9,14.9,0
1,543,46.3,60.7,7.0,1.1,0
1,387,59.1,55.9,7.4,2.7,0
0,523,69.2,65.5,7.3,13.4,1
0,524,38.2,55.3,13.9,16.3,0
1,390,53.3,73.0,4.4,7.7,1
1,321,82.6,36.2,6.8,6.5,1
1,314,43.9,51.9,0.0,13.9,1
0,466,73.0,90.7,6.1,9.2,1
0,495,52.7,50.6,10.9,19.9,0
1,361,68.2,56.4,8.6,6.0,1
1,459,76.5,46.8,14.1,9.3,1
0,524,71.1,65.0,10.8,20.9,0
0,530,73.6,49.0,17.3,17.3,0
0,642,42.7,57.2,14.1,18.7,0
1,609,76.7,72.7,17.7,3.0,1
0,336,47.2,49.5,0.3,20.5,0
0,658,63.9,71.8,17.1,10.5,1
0,392,63.9,72.3,0.0,21.1,0
1,581,67.3,75.8,8.9,5.9,0
0,464,65.1,62.1,10.0,16.1,0
0,407,47.3,100.0,1.7,17.1,1
0,240,39.8,75.8,1.5,17.4,1
0,435,73.1,64.9,10.5,23.2,0
1,269,62.8,46.9,0.0,18.9,0
0,572,77.2,58.5,9.1,22.9,1
0,638,59.3,81.4,13.3,15.7,0
1,360,38.9,85.6,1.1,8.5,0
0,492,74.5,82.2,9.1,20.7,1
1,369,54.4,71.8,5.2,2.3,1
1,381,65.1,41.2,4.2,1.0,0
0,549,50.3,67.3,17.4,17.7,0
1,451,84.7,41.4,5.4,9.2,1
0,665,46.9,37.7,20.8,11.6,0
1,398,54.9,63.6,2.3,3.1,0
0,576,61.6,67.8,12.9,20.3,0
1,468,43.6,73.6,12.7,6.2,1
1,551,65.0,67.5,15.6,11.7,0
1,402,84.2,68.0,4.6,0.4,1
0,450,52.6,45.2,9.8,27.4,0
0,442,65.9,58.4,9.1,11.8,0
0,356,18.8,37.4,2.4,9.9,0
0,535,59.4,29.9,13.2,17.8,0
1,534,55.3,71.1,17.5,1.5,0
0,527,47.7,48.7,12.4,17.8,0
1,640,76.2,73.1,17.0,5.7,1
1,630,55.1,76.6,17.0,5.2,1
0,411,57.3,50.7,1.3,14.6,0
0,501,54.3,68.9,11.4,19.7,0
1,381,31.2,50.1,1.7,4.7,0
0,459,43.0,32.3,6.1,22.4,0
0,384,74.4,61.8,13.0,17.3,1
1,650,28.4,52.9,14.5,2.1,0
1,500,48.5,53.4,7.1,0.0,0
0,430,54.0,89.6,11.2,17.3,0
0,599,86.2,37.1,10.2,12.9,0
0,240,71.5,65.7,0.0,12.6,1
1,240,51.6,45.1,4.4,8.1,0
1,552,79.6,73.6,11.8,0.0,1
1,463,48.9,64.5,2.9,11.6,0
1,486,75.1,65.7,11.1,6.6,1
1,297,39.6,45.8,0.7,5.8,0
0,453,76.1,48.5,13.4,13.9,0
0,696,53.9,73.9,15.0,21.1,0
1,555,44.6,86.6,15.5,6.0,1
1,476,56.7,67.2,15.1,3.3,1
1,403,64.2,46.5,3.1,6.8,0
0,409,52.6,65.1,5.6,11.3,0
0,240,68.3,96.4,1.4,11.5,1
0,487,51.3,61.5,6.3,13.5,0
0,557,69.3,81.9,12.9,19.4,1
1,267,66.6,48.9,0.2,6.0,1
1,377,59.1,59.4,4.3,10.2,0
0,317,53.4,69.3,3.1,14.3,0
0,340,62.3,66.0,4.0,20.3,0
1,462,68.3,48.5,8.9,5.5,0
0,240,90.9,47.9,0.0,14.2,1
1,530,74.1,74.8,8.9,7.5,1
1,546,74.6,77.9,11.1,5.7,1
0,426,100.0,82.7,6.8,15.5,1
0,240,67.7,87.1,0.0,18.2,1
1,336,67.3,62.0,4.7,5.5,1
1,604,70.6,55.3,7.3,5.4,0
0,240,44.9,80.3,0.0,16.3,0
1,414,53.3,70.7,5.6,0.8,0
1,314,52.4,45.3,0.0,6.3,0
1,553,69.7,44.5,17.4,2.8,0
0,375,57.4,67.4,5.1,13.9,0
1,504,62.1,57.3,10.5,5.0,0
1,524,76.3,59.6,9.0,8.9,0
0,676,72.9,76.1,16.3,18.7,1
0,432,57.6,71.4,2.9,15.9,0
1,501,50.0,79.9,9.2,3.7,1
0,278,77.0,31.0,0.0,20.5,0
0,599,71.6,63.8,12.5,8.4,0
0,365,35.9,70.4,0.0,21.2,0
1,389,55.3,37.1,1.6,0.0,0
1,453,62.5,50.2,13.1,0.3,1
0,268,71.7,47.4,4.0,15.9,0
1,483,73.7,60.3,13.7,14.7,0
0,572,64.3,84.4,17.3,24.7,0
1,491,68.8,90.3,11.8,8.8,1
1,265,61.0,47.8,0.0,7.4,0
1,441,49.9,67.9,3.9,0.0,1
0,545,56.1,68.4,15.5,18.6,1
1,240,60.3,65.8,0.2,3.8,1
0,327,59.5,66.0,12.0,14.7,1
1,561,31.7,64.6,10.8,6.6,0
0,488,54.0,85.3,16.2,16.1,0
0,505,60.8,76.5,9.4,21.5,1
0,679,55.8,44.1,21.1,10.3,0
1,512,56.3,71.9,16.1,6.3,1
0,535,67.3,73.4,7.5,14.5,1
1,780,43.8,64.7,18.6,4.4,0
0,430,35.6,77.0,3.5,19.2,0
0,360,54.8,62.8,0.2,13.5,0
1,507,71.5,63.0,12.4,6.7,1
0,509,85.3,61.8,9.4,17.2,1
1,393,71.7,29.7,5.9,3.4,0
1,332,38.0,58.8,5.4,4.1,0
0,733,56.5,50.0,12.0,17.4,0
0,495,63.8,42.2,14.1,14.9,0
0,368,62.7,81.5,3.6,18.0,1
1,566,68.1,67.6,14.1,4.9,1
1,443,46.2,59.6,9.8,3.6,1
0,426,61.0,51.5,11.8,24.4,1
0,523,66.3,64.4,10.3,19.7,0
0,301,72.4,74.9,0.0,16.5,1
0,498,47.9,47.6,9.9,18.6,0
1,686,54.8,59.9,17.4,1.9,0
1,512,19.4,73.0,6.6,4.3,0
0,411,50.7,31.0,6.9,16.7,0
1,395,52.1,59.1,4.6,1.0,1
0,407,44.7,53.6,1.6,19.5,0
0,426,62.5,58.0,9.3,16.0,0
1,411,59.2,52.5,4.4,4.6,0
1,566,26.1,62.1,10.8,3.7,0
1,248,63.2,88.9,0.0,17.8,1
0,559,46.1,55.1,16.3,15.3,0
0,410,67.3,64.4,6.2,9.7,0
0,501,40.8,89.9,10.1,11.6,1
0,321,60.5,51.7,1.5,21.0,0
1,615,55.8,87.2,15.7,11.3,0
1,605,64.5,60.1,18.4,3.3,1
0,571,61.9,86.7,14.7,23.1,1
1,274,56.2,71.3,3.7,9.0,0
0,555,37.0,64.6,14.0,17.2,0
1,505,37.8,59.0,5.1,5.0,0
0,263,51.2,50.6,0.0,18.7,0
0,453,59.9,61.1,7.3,21.5,0
1,500,50.9,73.5,7.2,7.6,0
0,523,69.4,59.8,6.9,15.3,0
0,477,55.8,55.3,2.3,17.3,0
0,491,45.5,56.2,4.7,25.9,0
0,633,55.8,74.9,13.8,19.0,0
0,603,63.4,78.4,13.4,21.5,0
0,240,64.9,50.0,0.0,20.2,1
1,418,88.2,50.0,6.9,7.1,1
1,436,50.0,65.7,5.8,6.4,0
0,246,58.9,82.9,4.0,21.6,1
0,467,66.4,77.2,8.0,20.9,1
1,606,59.6,41.2,16.2,7.1,0
1,326,52.5,56.0,3.9,3.2,0
1,496,36.8,46.0,4.7,7.5,0
1,346,52.3,56.0,3.7,5.7,0
1,375,43.9,84.1,0.8,4.8,1
0,633,34.1,38.7,14.4,28.7,0
0,391,48.1,35.7,3.1,11.8,0
1,511,44.3,47.6,11.5,9.8,0
1,240,68.8,64.3,0.0,2.5,1
0,679,69.0,69.3,16.5,18.5,0
1,528,46.4,66.6,12.8,16.3,0
0,434,56.1,77.6,10.5,14.2,0
1,525,32.1,33.6,8.0,3.1,0
1,287,52.6,77.8,1.8,5.9,0
0,598,66.0,55.3,14.1,14.6,0
0,417,72.4,71.0,12.1,21.5,1
0,432,49.3,40.1,2.0,15.9,0
1,397,75.8,60.1,2.7,8.6,1
1,386,37.3,63.5,15.3,0.7,0
0,539,41.3,77.3,10.3,10.8,0
0,487,70.6,36.2,2.6,17.1,0
1,534,85.1,60.5,9.0,0.0,1
0,455,67.4,43.7,0.0,24.1,0
0,518,59.4,67.6,11.3,11.9,0
0,406,27.1,71.7,9.0,13.8,0
1,724,29.7,79.3,14.9,7.7,0
1,268,61.9,52.0,0.0,3.7,0
0,607,54.6,73.9,17.0,11.9,0
1,620,43.4,80.4,8.1,14.2,1
1,354,61.0,35.4,0.0,2.0,0
0,724,61.7,69.2,17.3,17.2,1
1,575,74.2,74.4,9.9,5.2,0
1,573,62.0,56.1,11.4,8.8,0
0,459,78.4,41.8,3.8,19.8,0
0,430,60.1,74.1,7.9,14.7,1
1,431,58.3,42.0,6.6,4.7,0
1,503,76.0,57.3,11.8,5.1,0
0,624,45.3,59.4,15.1,21.0,0
1,478,100.0,70.7,9.6,1.3,1
1,347,65.6,50.6,0.0,14.1,0
0,555,65.7,49.7,13.5,15.0,0
1,567,67.9,61.5,11.1,6.0,1
0,535,88.2,75.1,10.5,13.4,1
1,545,71.9,94.3,15.1,0.8,1
0,423,35.9,37.4,4.4,14.5,0
0,345,81.1,64.7,8.6,14.1,1
1,352,54.9,43.7,9.2,4.3,0
0,260,61.6,75.3,3.4,14.1,1
1,484,40.8,45.9,5.7,8.8,0
0,446,67.9,49.9,0.1,14.9,0
1,403,50.2,51.2,9.9,2.4,0
1,240,61.5,58.9,0.4,4.4,0
1,306,55.7,64.8,0.0,10.0,0
0,591,88.9,67.3,17.3,18.9,1
0,376,89.7,59.9,2.1,17.6,1
1,499,60.7,40.1,8.2,0.3,0
1,289,61.0,70.9,3.7,1.4,1
1,629,54.4,59.2,10.7,0.9,0
0,439,76.6,77.4,7.1,23.2,1
1,491,55.1,49.4,13.2,8.1,0
0,735,53.7,36.0,19.3,14.6,0
0,638,74.7,59.5,19.3,15.7,1
1,419,51.9,79.4,10.7,2.7,1
0,385,59.4,62.4,5.5,14.5,0
1,417,36.3,57.0,0.0,7.8,0
0,517,70.6,46.9,6.5,16.8,1
0,443,89.1,86.4,10.3,26.3,1
0,409,70.8,44.6,0.9,23.0,0
1,632,81.9,49.1,13.6,11.2,0
1,442,47.3,68.6,8.8,8.7,0
1,732,63.5,32.2,23.6,4.3,0
1,467,45.9,79.1,6.5,8.4,0
1,670,56.6,69.4,13.9,4.6,0
1,499,71.6,73.5,9.5,12.5,0
1,572,61.5,68.4,13.7,7.6,1
0,369,38.8,57.6,4.3,19.0,0
0,354,40.3,44.1,7.9,18.5,0
0,511,39.3,57.9,7.4,25.0,0
0,575,67.4,45.4,13.0,12.3,1
1,461,91.0,67.3,9.8,13.4,1
0,302,80.4,72.1,0.9,17.3,1
0,293,31.6,82.2,4.9,12.4,0
1,285,81.3,65.6,2.2,3.0,1
1,244,74.0,73.9,2.9,0.0,1
1,469,36.8,55.5,9.3,8.6,0
0,591,55.5,52.8,14.5,13.8,0
0,454,76.4,67.1,5.8,18.7,0
1,240,68.3,54.2,0.0,10.5,1
0,433,40.4,64.0,11.5,15.3,0
0,436,69.2,44.1,9.6,16.9,0
0,708,27.9,46.8,14.0,12.8,0
1,281,56.7,69.5,2.2,4.4,0
1,409,77.1,73.3,0.0,16.3,1
1,661,60.3,45.2,13.8,9.1,0
1,510,52.5,70.1,13.5,4.9,0
1,524,73.3,52.0,10.2,3.6,1
0,470,74.6,60.2,9.0,17.8,0
1,496,79.7,81.3,0.0,6.5,1
0,549,73.1,72.1,10.2,16.3,1
0,359,76.2,71.9,5.6,20.1,0
1,561,71.0,88.6,13.7,2.2,1
0,291,64.0,49.4,5.3,14.2,0
0,495,61.3,45.2,8.8,19.5,0
0,477,56.4,49.2,8.3,13.3,0
1,382,41.8,56.2,0.7,8.9,0
0,453,45.7,24.7,7.3,17.9,0
0,381,55.8,56.9,0.9,10.7,0
1,327,63.6,51.8,0.0,6.4,0
0,414,81.6,71.8,2.7,11.3,1
1,324,59.4,65.3,8.4,8.8,0
1,495,75.1,51.0,8.6,5.0,0
1,318,76.2,68.8,3.7,13.4,1
0,541,56.5,70.8,9.5,22.3,0
0,314,68.9,48.5,0.0,13.8,0
0,388,56.3,52.6,8.8,9.9,0
1,381,79.8,26.6,0.0,3.0,0
0,615,69.5,43.6,12.1,13.1,1
0,496,42.1,48.9,9.4,25.3,0
0,431,62.4,61.1,8.0,18.0,0
1,516,84.7,45.8,7.8,9.7,1
0,240,57.3,52.3,0.0,16.9,0
1,451,66.7,41.6,5.1,5.3,0
0,696,68.2,62.6,14.5,17.9,1
0,472,44.5,66.4,6.0,22.4,0
0,464,67.7,66.0,11.8,19.2,1
1,522,39.1,60.2,6.3,1.8,0
0,563,50.6,36.9,13.2,24.5,0
0,240,76.1,50.7,0.6,16.8,0
1,254,65.4,53.9,3.9,4.2,1
1,481,55.4,54.0,8.6,0.0,1
1,370,66.7,61.1,7.7,8.5,1
1,613,59.1,81.4,13.4,6.4,1
0,418,60.2,72.2,8.2,18.4,1
1,240,69.9,45.2,0.0,4.4,0
0,304,49.1,70.2,0.0,15.7,1
1,240,60.6,69.6,1.3,4.5,1
1,428,55.3,47.9,8.6,7.9,0
1,433,36.2,72.7,8.9,8.6,0
1,405,46.2,57.6,4.4,5.1,0
1,585,83.5,38.9,18.2,9.8,1
1,600,65.8,66.8,11.9,5.7,1
1,436,40.1,63.3,8.8,4.0,0
0,240,36.9,56.6,2.1,18.8,0
0,530,58.3,59.4,16.9,12.6,1
0,523,83.4,49.2,9.5,18.9,0
1,493,57.2,69.2,7.2,0.0,0
0,574,79.6,59.3,7.3,13.9,0
0,316,65.3,62.5,8.3,9.9,1
0,697,67.1,65.4,18.6,17.3,0
1,341,40.0,42.7,5.4,12.4,0
1,546,74.1,46.6,22.4,5.5,1
1,254,55.0,26.9,1.6,8.6,0
0,344,72.9,68.5,0.0,27.4,1
0,638,47.8,41.8,14.2,19.6,0
0,425,62.7,62.0,3.5,14.9,0
0,557,65.3,65.6,10.5,15.5,0
0,484,57.7,69.0,7.8,18.0,0
1,443,66.1,41.9,5.6,3.5,0
1,620,56.0,59.0,9.4,3.8,0
1,428,50.3,85.1,12.6,9.9,1
0,242,84.1,85.7,1.1,22.1,1
0,360,75.7,74.8,3.7,11.4,1
1,522,48.6,65.1,13.2,2.7,1
0,503,68.5,44.9,11.5,16.1,0
0,268,48.9,70.8,2.0,20.4,0
0,369,42.2,57.6,7.2,22.6,0
1,386,75.5,68.4,6.0,16.8,0
1,412,34.4,50.5,8.8,4.1,0
0,291,73.9,57.4,4.5,16.3,0
1,381,56.2,62.5,5.8,8.4,0
1,369,56.8,63.7,4.0,3.3,0
1,549,66.1,67.4,16.9,5.4,1
1,553,68.7,51.3,10.1,4.3,1
0,439,47.6,39.9,8.8,7.5,0
1,409,70.8,84.4,7.8,6.5,1
0,473,61.7,97.3,6.6,17.3,1
1,358,41.2,66.7,1.6,11.1,0
1,318,57.5,40.1,1.7,6.0,0
1,343,80.7,48.4,2.1,1.0,0
1,380,85.1,67.6,0.1,5.0,1
1,316,70.8,80.1,0.6,0.0,1
1,475,42.1,41.8,9.8,1.2,0
1,544,67.4,58.1,15.8,8.5,1
1,266,72.8,62.9,2.9,5.0,1
0,459,70.9,73.0,0.0,21.7,1
1,430,71.8,54.8,9.4,0.0,1
1,497,65.4,36.5,7.7,5.0,0
0,454,58.9,69.3,9.6,16.1,0
1,282,50.9,76.9,1.5,9.8,1
1,305,31.5,58.8,1.7,8.7,0
1,460,65.1,66.1,7.9,8.6,1
1,579,62.8,52.9,12.7,12.2,0
0,240,68.4,47.3,4.7,16.5,0
1,497,39.9,75.4,9.6,11.3,1
0,599,69.7,65.8,17.3,13.8,0
1,438,90.8,67.4,10.7,1.7,1
1,522,61.2,82.5,12.9,9.0,1
0,372,59.1,44.2,0.0,12.0,0
0,442,64.6,51.7,11.5,20.3,0
0,261,90.5,62.4,0.0,18.4,1
0,240,44.6,51.5,2.5,22.3,0
0,569,63.0,71.7,8.9,17.8,0
0,338,48.0,57.2,0.0,18.2,0
0,401,51.8,45.1,13.0,20.0,0
0,290,59.3,61.0,0.0,15.3,1
1,287,80.2,62.6,5.8,3.2,1
0,435,87.0,74.0,7.7,19.9,1
0,368,66.7,65.9,3.3,17.9,0
0,501,54.4,66.9,9.6,16.4,0
1,510,97.4,64.8,5.6,5.7,1
0,495,53.6,57.2,9.5,24.4,0
1,485,51.4,49.3,5.4,4.2,0
0,645,33.4,64.3,13.8,16.1,0
