jahr,tag_im_jahr,wochentag,naehe_ferien_fr,naehe_ferien_be,naehe_ferien_de,naehe_ferien_nl,regen,ueberdurchschnittlich
1,38,2,0.0,0.0,0.0,0.0,1,0
1,39,3,0.0,0.0,0.0,0.0,0,0
1,40,4,0.0,0.0,0.0,0.0,0,0
1,41,5,0.0,0.0,0.0,0.0,1,1
1,42,6,0.0,0.0,0.0,0.0,0,1
1,43,0,0.0,0.0,0.0,0.0,0,1
1,44,1,0.0,0.0,0.0,0.0,0,1
1,45,2,0.0,0.0,0.0,0.0,0,0
1,46,3,0.0,0.0,0.0,0.0,1,0
1,47,4,0.0,0.0,0.0,0.0,0,0
1,48,5,0.0,0.0,0.0,0.0,0,1
1,49,6,0.0,0.0,0.0,0.0,0,0
1,50,0,0.0,0.0,0.0,0.0,0,1
1,51,1,0.0,0.0,0.0,0.0,0,0
1,52,2,0.0,0.0,0.0,0.0,0,1
1,53,3,0.0,0.0,0.0,0.0,0,0
1,54,4,0.0,0.0,0.0,0.0,0,0
1,55,5,0.0,0.0,0.0,0.0,1,0
1,56,6,0.0,0.0,0.0,0.0,0,1
1,57,0,0.0,0.0,0.0,0.0,0,0
1,58,1,0.0,0.0,0.0,0.0,0,0
1,59,2,0.0,0.0,0.0,0.0,1,0
1,60,3,0.0,0.0,0.0,0.0,0,1
1,61,4,0.0,0.0,0.0,0.0,0,1
1,62,5,0.0,0.0,0.0,0.0,0,1
1,63,6,0.0,0.0,0.0,0.0,1,0
1,64,0,0.0,0.0,0.0,0.0,0,1
1,65,1,0.0,0.0,0.0,0.0,0,0
1,66,2,0.0,0.0,0.0,0.0,0,0
1,67,3,0.0,0.0,0.0,0.0,0,0
1,68,4,0.0,0.0,0.0,0.0,0,0
1,69,5,0.0,0.0,0.0,0.0,0,0
1,70,6,0.0,0.0,0.0,0.0,0,1
1,71,0,0.0,0.0,0.0,0.0,0,0
1,72,1,0.0,0.0,0.0,0.0,0,0
1,73,2,0.0,0.0,0.0,0.0,0,0
1,74,3,0.0,0.0,0.0,0.0,0,0
1,75,4,0.0,0.0,0.0,0.0,1,0
1,76,5,0.0,0.0,0.0,0.0,1,0
1,77,6,0.0,0.0,0.0,0.0,0,1
1,78,0,0.0,0.0,0.0,0.0,0,0
1,79,1,0.0,0.0,0.0,0.0,0,0
1,80,2,0.0,0.0,0.0,0.0,0,1
1,81,3,0.0,0.0,0.0,0.0,0,0
1,82,4,0.0,0.0,0.0,0.0,1,1
1,83,5,0.0,0.0,0.0,0.0,0,1
1,84,6,0.0,0.0,0.0,0.0,0,0
1,85,0,0.0,0.0,0.0,0.0,1,0
1,86,1,0.0,0.0,0.0,0.0,0,0
1,87,2,0.0,0.0,0.0,0.0,0,0
1,88,3,0.0,0.0,0.0,0.0,1,0
1,89,4,0.0,0.0,0.0,0.0,1,1
1,90,5,0.0,0.0,0.0,0.0,1,1
1,91,6,0.0,0.0,0.0,0.0,0,0
1,92,0,0.0,0.0,0.0,0.0,0,1
1,93,1,0.0,0.0,0.0,0.0,0,0
1,94,2,0.0,0.0,0.0,0.0,0,1
1,95,3,0.0,0.0,0.0,0.0,0,1
1,96,4,0.0,0.0,0.0,0.0,0,1
1,97,5,0.0,0.0,0.0,0.0,1,1
1,98,6,0.0,0.0,0.0,0.0,1,1
1,99,0,0.0,0.0,0.0,0.0,0,1
1,100,1,0.0,0.0,0.0,0.0,1,0
1,101,2,0.0,0.0,0.0,0.0,0,0
1,102,3,0.0,0.0,0.0,0.0,0,1
1,103,4,0.0,0.0,0.0,0.0,0,0
1,104,5,0.0,0.0,0.0,0.0,0,1
1,105,6,0.0,0.0,0.0,0.0,0,1
1,106,0,0.0,0.0,0.0,0.0,1,0
1,107,1,0.0,0.0,0.0,0.0,0,0
1,108,2,0.0,0.0,0.0,0.0,1,0
1,109,3,0.0,0.0,0.0,0.0,0,0
1,110,4,0.0,0.0,0.0,0.0,0,0
1,111,5,0.0,0.0,0.0,0.0,0,0
1,112,6,0.0,0.0,0.0,0.0,0,0
1,113,0,0.0,0.0,0.0,0.0,1,0
1,114,1,0.0,0.0,0.0,0.0,1,0
1,115,2,0.0,0.0,0.0,0.0,0,0
1,116,3,0.0,0.0,0.0,0.0,1,0
1,117,4,0.0,0.0,0.0,0.0,0,1
1,118,5,0.0,0.0,0.0,0.0,0,1
1,119,6,0.0,0.0,0.0,0.0,0,1
1,120,0,0.0,0.0,0.0,0.0,0,0
1,121,1,0.0,0.0,0.0,0.0,0,0
1,122,2,0.0,0.0,0.0,0.0,1,0
1,123,3,0.0,0.0,0.0,0.0,0,1
1,124,4,0.0,0.0,0.0,0.0,0,0
1,125,5,0.0,0.0,0.0,0.0,1,1
1,126,6,0.0,0.0,0.0,0.0,0,1
1,127,0,0.0,0.0,0.0,0.0,1,0
1,128,1,0.0,0.0,0.0,0.0,1,0
1,129,2,0.0,0.0,0.0,0.0,1,0
1,130,3,0.0,0.0,0.0,0.0,0,0
1,131,4,0.0,0.0,0.0,0.0,1,0
1,132,5,0.0,0.0,0.0,0.0,0,1
1,133,6,0.0,0.0,0.0,0.0,0,1
1,134,0,0.0,0.0,0.0,0.0,0,0
1,135,1,0.0,0.0,0.0,0.0,0,0
1,136,2,0.0,0.0,0.0,0.0,0,0
1,137,3,0.0,0.0,0.0,0.0,0,0
1,138,4,0.0,0.0,0.0,0.0,1,0
1,139,5,0.0,0.0,0.0,0.0,0,1
1,140,6,0.0,0.0,0.0,0.0,0,1
1,141,0,0.0,0.0,0.0,0.0,1,0
1,142,1,0.0,0.0,0.0,0.0,0,0
1,143,2,0.0,0.0,0.0,0.0,0,1
1,144,3,0.0,0.0,0.0,0.0,0,1
1,145,4,0.0,0.0,0.0,0.0,0,1
1,146,5,0.0,0.0,0.0,0.0,1,0
1,147,6,0.0,0.0,0.0,0.0,0,1
1,148,0,0.0,0.0,0.0,0.0,0,0
1,149,1,0.0,0.0,0.0,0.0,0,0
1,150,2,0.0,0.0,0.0,0.0,0,1
1,151,3,0.0,0.0,0.0,0.0,0,0
1,152,4,0.0,0.0,0.0,0.0,0,1
1,153,5,0.0,0.0,0.0,0.0,0,0
1,154,6,0.0,0.0,0.0,0.0,0,1
1,155,0,0.0,0.0,0.0,0.0,0,0
1,156,1,0.0,0.0,0.0,0.0,1,0
1,157,2,0.0,0.0,0.0,0.0,0,0
1,158,3,0.0,0.0,0.0,0.0,1,0
1,159,4,0.0,0.0,0.0,0.0,0,1
1,160,5,0.0,0.0,0.0,0.0,0,1
1,161,6,0.0,0.0,0.0,0.0,0,0
1,162,0,0.0,0.0,0.0,0.0,0,1
1,163,1,0.0,0.0,0.0,0.0,0,0
1,164,2,0.0,0.0,0.0,0.0,0,0
1,165,3,0.0,0.0,0.0,0.0,0,0
1,166,4,0.0,0.0,0.0,0.0,0,0
1,167,5,0.0,0.0,0.0,0.0,1,1
1,168,6,0.0,0.0,0.0,0.0,0,1
1,169,0,0.0,0.0,0.0,0.0,1,0
1,170,1,0.0,0.0,0.0,0.0,1,0
1,171,2,0.0,0.0,0.0,0.0,0,1
1,172,3,0.0,0.0,0.0,0.0,1,0
1,173,4,0.0,0.0,0.0,0.0,0,0
1,174,5,0.0,0.0,0.0,0.0,0,1
1,175,6,0.0,0.0,0.0,0.0,0,1
1,176,0,0.0,0.0,0.0,0.0,0,0
1,177,1,0.0,0.0,0.0,0.0,0,0
1,178,2,0.0,0.0,0.0,0.0,0,1
1,179,3,0.0,0.0,0.0,0.0,1,0
1,180,4,0.0,0.0,0.0,0.0,1,1
1,181,5,0.0,0.0,0.0,0.0,0,0
1,182,6,0.0,0.0,0.0,0.0,0,1
1,183,0,0.0,0.0,0.0,0.0,0,0
1,184,1,0.0,0.0,0.0,0.0,0,0
1,185,2,0.0,0.0,0.0,0.0,0,1
1,186,3,0.0,0.0,0.0,0.0,1,0
1,187,4,0.0,0.0,0.0,0.0,0,1
1,188,5,0.0,0.0,0.0,0.0,0,0
1,189,6,0.0,0.0,0.0,0.0,0,0
1,190,0,0.0,0.0,0.0,0.0,0,1
1,191,1,0.0,0.0,0.0,0.0,0,0
1,192,2,0.0,0.0,0.0,0.0,1,0
1,193,3,0.0,0.0,0.0,0.0,1,0
1,194,4,0.0,0.0,0.0,0.0,0,0
1,195,5,0.0,0.033,0.0,0.0,0,1
1,196,6,0.0,0.067,0.0,0.0,0,1
1,197,0,0.0,0.1,0.0,0.0,0,0
1,198,1,0.0,0.133,0.0,0.0,0,1
1,199,2,0.033,0.167,0.0,0.0,0,1
1,200,3,0.067,0.2,0.0,0.0,0,0
1,201,4,0.1,0.233,0.033,0.033,0,1
1,202,5,0.133,0.267,0.067,0.067,0,0
1,203,6,0.167,0.3,0.1,0.1,0,1
1,204,0,0.2,0.333,0.133,0.133,1,0
1,205,1,0.233,0.367,0.167,0.167,0,0
1,206,2,0.267,0.4,0.2,0.2,0,1
1,207,3,0.3,0.433,0.233,0.233,0,1
1,208,4,0.333,0.467,0.267,0.267,0,1
1,209,5,0.367,0.5,0.3,0.3,0,1
1,210,6,0.4,0.533,0.333,0.333,1,1
1,211,0,0.433,0.567,0.367,0.367,0,1
1,212,1,0.467,0.6,0.4,0.4,1,1
1,213,2,0.5,0.633,0.433,0.433,0,1
1,214,3,0.533,0.667,0.467,0.467,1,1
1,215,4,0.567,0.7,0.5,0.5,1,1
1,216,5,0.6,0.733,0.533,0.533,0,1
1,217,6,0.633,0.767,0.567,0.567,0,1
1,218,0,0.667,0.8,0.6,0.6,0,1
1,219,1,0.7,0.833,0.633,0.633,0,1
1,220,2,0.733,0.867,0.667,0.667,0,1
1,221,3,0.767,0.9,0.7,0.7,0,1
1,222,4,0.8,0.933,0.733,0.733,0,1
1,223,5,0.833,0.967,0.767,0.767,0,1
1,224,6,0.867,1.0,0.8,0.8,0,1
1,225,0,0.9,0.967,0.833,0.833,0,1
1,226,1,0.933,0.933,0.867,0.867,0,1
1,227,2,0.967,0.9,0.9,0.9,0,1
1,228,3,1.0,0.867,0.933,0.933,0,1
1,229,4,0.967,0.833,0.967,0.967,0,1
1,230,5,0.933,0.8,1.0,1.0,0,1
1,231,6,0.9,0.767,0.967,0.967,0,1
1,232,0,0.867,0.733,0.933,0.933,0,1
1,233,1,0.833,0.7,0.9,0.9,0,1
1,234,2,0.8,0.667,0.867,0.867,1,1
1,235,3,0.767,0.633,0.833,0.833,0,1
1,236,4,0.733,0.6,0.8,0.8,0,1
1,237,5,0.7,0.567,0.767,0.767,0,1
1,238,6,0.667,0.533,0.733,0.733,0,1
1,239,0,0.633,0.5,0.7,0.7,1,1
1,240,1,0.6,0.467,0.667,0.667,0,1
1,241,2,0.567,0.433,0.633,0.633,1,1
1,242,3,0.533,0.4,0.6,0.6,1,1
1,243,4,0.5,0.367,0.567,0.567,0,1
1,244,5,0.467,0.333,0.533,0.533,0,1
1,245,6,0.433,0.3,0.5,0.5,0,0
1,246,0,0.4,0.267,0.467,0.467,0,1
1,247,1,0.367,0.233,0.433,0.433,0,1
1,248,2,0.333,0.2,0.4,0.4,0,0
1,249,3,0.3,0.167,0.367,0.367,0,1
1,250,4,0.267,0.133,0.333,0.333,0,1
1,251,5,0.233,0.1,0.3,0.3,0,0
1,252,6,0.2,0.067,0.267,0.267,0,1
1,253,0,0.167,0.033,0.233,0.233,0,1
1,254,1,0.133,0.0,0.2,0.2,0,1
1,255,2,0.1,0.0,0.167,0.167,0,1
1,256,3,0.067,0.0,0.133,0.133,0,0
1,257,4,0.033,0.0,0.1,0.1,0,1
1,258,5,0.0,0.0,0.067,0.067,1,0
1,259,6,0.0,0.0,0.033,0.033,0,0
1,260,0,0.0,0.0,0.0,0.0,1,0
1,261,1,0.0,0.0,0.0,0.0,0,0
1,262,2,0.0,0.0,0.0,0.0,0,0
1,263,3,0.0,0.0,0.0,0.0,0,0
1,264,4,0.0,0.0,0.0,0.0,0,1
1,265,5,0.0,0.0,0.0,0.0,0,1
1,266,6,0.0,0.0,0.0,0.0,0,0
1,267,0,0.0,0.0,0.0,0.0,1,0
1,268,1,0.0,0.0,0.0,0.0,0,0
1,269,2,0.0,0.0,0.0,0.0,1,0
1,270,3,0.0,0.0,0.0,0.0,1,0
1,271,4,0.0,0.0,0.0,0.0,1,0
1,272,5,0.0,0.0,0.0,0.0,1,0
1,273,6,0.0,0.0,0.0,0.0,1,1
1,274,0,0.0,0.0,0.0,0.0,1,0
1,275,1,0.0,0.0,0.0,0.0,1,0
1,276,2,0.0,0.0,0.0,0.0,0,0
1,277,3,0.0,0.0,0.0,0.0,0,0
1,278,4,0.0,0.0,0.0,0.0,0,1
1,279,5,0.0,0.0,0.0,0.0,0,1
1,280,6,0.0,0.0,0.0,0.0,0,0
1,281,0,0.0,0.0,0.0,0.0,0,1
1,282,1,0.0,0.0,0.0,0.0,0,0
1,283,2,0.0,0.0,0.0,0.0,1,1
1,284,3,0.0,0.0,0.0,0.0,1,0
1,285,4,0.0,0.0,0.0,0.0,0,0
1,286,5,0.0,0.0,0.0,0.0,0,0
1,287,6,0.0,0.0,0.0,0.0,0,1
1,288,0,0.0,0.0,0.0,0.0,0,1
1,289,1,0.0,0.0,0.0,0.0,0,0
1,290,2,0.0,0.0,0.0,0.0,1,0
1,291,3,0.0,0.0,0.0,0.0,0,1
1,292,4,0.0,0.0,0.0,0.0,0,1
1,293,5,0.0,0.0,0.0,0.0,0,0
1,294,6,0.0,0.0,0.0,0.0,1,1
1,295,0,0.0,0.0,0.0,0.0,0,1
1,296,1,0.0,0.0,0.0,0.0,0,0
1,297,2,0.0,0.0,0.0,0.0,0,0
1,298,3,0.0,0.0,0.0,0.0,0,1
1,299,4,0.0,0.0,0.0,0.0,1,1
1,300,5,0.0,0.0,0.0,0.0,1,0
1,301,6,0.0,0.0,0.0,0.0,0,0
1,302,0,0.0,0.0,0.0,0.0,1,0
1,303,1,0.0,0.0,0.0,0.0,0,0
1,304,2,0.0,0.0,0.0,0.0,0,0
1,305,3,0.0,0.0,0.0,0.0,0,0
1,306,4,0.0,0.0,0.0,0.0,0,1
1,307,5,0.0,0.0,0.0,0.0,0,1
1,308,6,0.0,0.0,0.0,0.0,1,1
1,309,0,0.0,0.0,0.0,0.0,0,1
1,310,1,0.0,0.0,0.0,0.0,0,0
1,311,2,0.0,0.0,0.0,0.0,0,1
1,312,3,0.0,0.0,0.0,0.0,1,0
1,313,4,0.0,0.0,0.0,0.0,0,1
1,314,5,0.0,0.0,0.0,0.0,0,1
1,315,6,0.0,0.0,0.0,0.0,0,1
1,316,0,0.0,0.0,0.0,0.0,1,1
1,317,1,0.0,0.0,0.0,0.0,0,0
1,318,2,0.0,0.0,0.0,0.0,0,0
1,319,3,0.0,0.0,0.0,0.0,0,0
1,320,4,0.0,0.0,0.0,0.0,0,1
1,321,5,0.0,0.0,0.0,0.0,0,0
1,322,6,0.0,0.0,0.0,0.0,1,0
1,323,0,0.0,0.0,0.0,0.0,1,0
1,324,1,0.0,0.0,0.0,0.0,0,0
1,325,2,0.0,0.0,0.0,0.0,0,1
1,326,3,0.0,0.0,0.0,0.0,1,0
1,327,4,0.0,0.0,0.0,0.0,0,1
1,328,5,0.0,0.0,0.0,0.0,1,1
1,329,6,0.0,0.0,0.0,0.0,0,0
1,330,0,0.0,0.0,0.0,0.0,1,1
1,331,1,0.0,0.0,0.0,0.0,0,1
1,332,2,0.0,0.0,0.0,0.0,1,0
1,333,3,0.0,0.0,0.0,0.0,0,0
1,334,4,0.0,0.0,0.0,0.0,1,1
1,335,5,0.0,0.0,0.0,0.0,0,0
1,336,6,0.0,0.0,0.0,0.0,0,0
1,337,0,0.0,0.0,0.0,0.0,0,0
1,338,1,0.0,0.0,0.0,0.0,0,0
1,339,2,0.0,0.0,0.0,0.0,1,0
1,340,3,0.0,0.0,0.0,0.0,0,0
1,341,4,0.0,0.0,0.0,0.0,0,0
1,342,5,0.0,0.0,0.0,0.0,0,1
1,343,6,0.0,0.0,0.0,0.0,0,1
1,344,0,0.0,0.0,0.0,0.0,0,1
1,345,1,0.0,0.0,0.0,0.0,0,0
1,346,2,0.0,0.0,0.0,0.0,1,1
1,347,3,0.0,0.0,0.0,0.0,0,0
1,348,4,0.0,0.0,0.0,0.0,0,1
1,349,5,0.0,0.0,0.0,0.0,0,1
1,350,6,0.0,0.0,0.0,0.0,0,1
1,351,0,0.0,0.0,0.0,0.0,0,0
1,352,1,0.0,0.0,0.0,0.0,1,1
1,353,2,0.0,0.0,0.0,0.0,0,1
1,354,3,0.0,0.0,0.0,0.0,1,0
1,355,4,0.0,0.0,0.0,0.0,0,1
1,356,5,0.0,0.0,0.0,0.0,1,1
1,357,6,0.0,0.0,0.0,0.0,1,0
1,358,0,0.0,0.0,0.0,0.0,0,0
1,359,1,0.0,0.0,0.0,0.0,1,0
1,360,2,0.0,0.0,0.0,0.0,0,0
1,361,3,0.0,0.0,0.0,0.0,0,0
1,362,4,0.0,0.0,0.0,0.0,0,1
1,363,5,0.0,0.0,0.0,0.0,0,0
1,364,6,0.0,0.0,0.0,0.0,0,0
1,365,0,0.0,0.0,0.0,0.0,0,0
2,1,0,0.0,0.0,0.0,0.0,0,0
2,2,1,0.0,0.0,0.0,0.0,0,0
2,3,2,0.0,0.0,0.0,0.0,0,0
2,4,3,0.0,0.0,0.0,0.0,1,0
2,5,4,0.0,0.0,0.0,0.0,1,0
2,6,5,0.0,0.0,0.0,0.0,1,1
2,7,6,0.0,0.0,0.0,0.0,0,1
2,8,0,0.0,0.0,0.0,0.0,1,0
2,9,1,0.0,0.0,0.0,0.0,0,0
2,10,2,0.0,0.0,0.0,0.0,1,0
2,11,3,0.0,0.0,0.0,0.0,0,0
2,12,4,0.0,0.0,0.0,0.0,0,0
2,13,5,0.0,0.0,0.0,0.0,0,1
2,14,6,0.0,0.0,0.0,0.0,1,0
2,15,0,0.0,0.0,0.0,0.0,0,1
2,16,1,0.0,0.0,0.0,0.0,0,0
2,17,2,0.0,0.0,0.0,0.0,0,0
2,18,3,0.0,0.0,0.0,0.0,1,1
2,19,4,0.0,0.0,0.0,0.0,0,1
2,20,5,0.0,0.0,0.0,0.0,0,1
2,21,6,0.0,0.0,0.0,0.0,1,0
2,22,0,0.0,0.0,0.0,0.0,0,1
2,23,1,0.0,0.0,0.0,0.0,0,1
2,24,2,0.0,0.0,0.0,0.0,1,1
2,25,3,0.0,0.0,0.0,0.0,0,0
2,26,4,0.0,0.0,0.0,0.0,0,0
2,27,5,0.0,0.0,0.0,0.0,0,1
2,28,6,0.0,0.0,0.0,0.0,0,0
2,29,0,0.0,0.0,0.0,0.0,0,0
2,30,1,0.0,0.0,0.0,0.0,0,0
2,31,2,0.0,0.0,0.0,0.0,0,0
2,32,3,0.0,0.0,0.0,0.0,0,0
2,33,4,0.0,0.0,0.0,0.0,0,0
2,34,5,0.0,0.0,0.0,0.0,0,1
2,35,6,0.0,0.0,0.0,0.0,0,1
2,36,0,0.0,0.0,0.0,0.0,0,0
2,37,1,0.0,0.0,0.0,0.0,1,0
2,38,2,0.0,0.0,0.0,0.0,0,1
2,39,3,0.0,0.0,0.0,0.0,0,0
2,40,4,0.0,0.0,0.0,0.0,1,0
2,41,5,0.0,0.0,0.0,0.0,1,0
2,42,6,0.0,0.0,0.0,0.0,0,0
2,43,0,0.0,0.0,0.0,0.0,0,0
2,44,1,0.0,0.0,0.0,0.0,1,0
2,45,2,0.0,0.0,0.0,0.0,0,0
2,46,3,0.0,0.0,0.0,0.0,1,0
2,47,4,0.0,0.0,0.0,0.0,1,1
2,48,5,0.0,0.0,0.0,0.0,0,1
2,49,6,0.0,0.0,0.0,0.0,0,1
2,50,0,0.0,0.0,0.0,0.0,0,0
2,51,1,0.0,0.0,0.0,0.0,0,1
2,52,2,0.0,0.0,0.0,0.0,0,0
2,53,3,0.0,0.0,0.0,0.0,1,0
2,54,4,0.0,0.0,0.0,0.0,0,0
2,55,5,0.0,0.0,0.0,0.0,0,0
2,56,6,0.0,0.0,0.0,0.0,0,1
2,57,0,0.0,0.0,0.0,0.0,0,0
2,58,1,0.0,0.0,0.0,0.0,0,1
2,59,2,0.0,0.0,0.0,0.0,0,0
2,60,3,0.0,0.0,0.0,0.0,1,0
2,61,4,0.0,0.0,0.0,0.0,1,0
2,62,5,0.0,0.0,0.0,0.0,0,1
2,63,6,0.0,0.0,0.0,0.0,1,1
2,64,0,0.0,0.0,0.0,0.0,0,1
2,65,1,0.0,0.0,0.0,0.0,0,0
2,66,2,0.0,0.0,0.0,0.0,1,1
2,67,3,0.0,0.0,0.0,0.0,0,0
2,68,4,0.0,0.0,0.0,0.0,1,1
2,69,5,0.0,0.0,0.0,0.0,1,0
2,70,6,0.0,0.0,0.0,0.0,1,1
2,71,0,0.0,0.0,0.0,0.0,0,1
2,72,1,0.0,0.0,0.0,0.0,1,1
2,73,2,0.0,0.0,0.0,0.0,0,1
2,74,3,0.0,0.0,0.0,0.0,1,1
2,75,4,0.0,0.0,0.0,0.0,0,1
2,76,5,0.0,0.0,0.0,0.0,0,0
2,77,6,0.0,0.0,0.0,0.0,1,1
2,78,0,0.0,0.0,0.0,0.0,0,0
2,79,1,0.0,0.0,0.0,0.0,0,0
2,80,2,0.0,0.0,0.0,0.0,1,0
2,81,3,0.0,0.0,0.0,0.0,1,0
2,82,4,0.0,0.0,0.0,0.0,0,0
2,83,5,0.0,0.0,0.0,0.0,0,1
2,84,6,0.0,0.0,0.0,0.0,1,1
2,85,0,0.0,0.0,0.0,0.0,0,1
2,86,1,0.0,0.0,0.0,0.0,1,1
2,87,2,0.0,0.0,0.0,0.0,0,1
2,88,3,0.0,0.0,0.0,0.0,0,0
2,89,4,0.0,0.0,0.0,0.0,0,0
2,90,5,0.0,0.0,0.0,0.0,0,1
2,91,6,0.0,0.0,0.0,0.0,0,1
2,92,0,0.0,0.0,0.0,0.0,0,0
2,93,1,0.0,0.0,0.0,0.0,0,0
2,94,2,0.0,0.0,0.0,0.0,1,0
2,95,3,0.0,0.0,0.0,0.0,0,1
2,96,4,0.0,0.0,0.0,0.0,1,1
2,97,5,0.0,0.0,0.0,0.0,0,1
2,98,6,0.0,0.0,0.0,0.0,0,0
2,99,0,0.0,0.0,0.0,0.0,1,0
2,100,1,0.0,0.0,0.0,0.0,0,1
2,101,2,0.0,0.0,0.0,0.0,0,1
2,102,3,0.0,0.0,0.0,0.0,0,0
2,103,4,0.0,0.0,0.0,0.0,0,1
2,104,5,0.0,0.0,0.0,0.0,0,1
2,105,6,0.0,0.0,0.0,0.0,0,1
2,106,0,0.0,0.0,0.0,0.0,0,0
2,107,1,0.0,0.0,0.0,0.0,0,0
2,108,2,0.0,0.0,0.0,0.0,1,0
2,109,3,0.0,0.0,0.0,0.0,1,0
2,110,4,0.0,0.0,0.0,0.0,0,1
2,111,5,0.0,0.0,0.0,0.0,1,0
2,112,6,0.0,0.0,0.0,0.0,1,1
2,113,0,0.0,0.0,0.0,0.0,0,1
2,114,1,0.0,0.0,0.0,0.0,0,1
2,115,2,0.0,0.0,0.0,0.0,1,1
2,116,3,0.0,0.0,0.0,0.0,1,1
2,117,4,0.0,0.0,0.0,0.0,0,0
2,118,5,0.0,0.0,0.0,0.0,0,1
2,119,6,0.0,0.0,0.0,0.0,0,1
2,120,0,0.0,0.0,0.0,0.0,0,1
2,121,1,0.0,0.0,0.0,0.0,1,0
2,122,2,0.0,0.0,0.0,0.0,0,0
2,123,3,0.0,0.0,0.0,0.0,0,0
2,124,4,0.0,0.0,0.0,0.0,0,1
2,125,5,0.0,0.0,0.0,0.0,0,1
2,126,6,0.0,0.0,0.0,0.0,0,0
2,127,0,0.0,0.0,0.0,0.0,0,0
2,128,1,0.0,0.0,0.0,0.0,0,0
2,129,2,0.0,0.0,0.0,0.0,1,0
2,130,3,0.0,0.0,0.0,0.0,1,0
2,131,4,0.0,0.0,0.0,0.0,1,1
2,132,5,0.0,0.0,0.0,0.0,0,1
2,133,6,0.0,0.0,0.0,0.0,1,0
2,134,0,0.0,0.0,0.0,0.0,1,0
2,135,1,0.0,0.0,0.0,0.0,0,0
2,136,2,0.0,0.0,0.0,0.0,0,0
2,137,3,0.0,0.0,0.0,0.0,0,0
2,138,4,0.0,0.0,0.0,0.0,0,1
2,139,5,0.0,0.0,0.0,0.0,0,1
2,140,6,0.0,0.0,0.0,0.0,0,0
2,141,0,0.0,0.0,0.0,0.0,0,1
2,142,1,0.0,0.0,0.0,0.0,0,0
2,143,2,0.0,0.0,0.0,0.0,0,0
2,144,3,0.0,0.0,0.0,0.0,1,0
2,145,4,0.0,0.0,0.0,0.0,1,0
2,146,5,0.0,0.0,0.0,0.0,0,1
2,147,6,0.0,0.0,0.0,0.0,1,0
2,148,0,0.0,0.0,0.0,0.0,1,0
2,149,1,0.0,0.0,0.0,0.0,0,0
2,150,2,0.0,0.0,0.0,0.0,1,0
2,151,3,0.0,0.0,0.0,0.0,0,0
2,152,4,0.0,0.0,0.0,0.0,1,0
2,153,5,0.0,0.0,0.0,0.0,0,1
2,154,6,0.0,0.0,0.0,0.0,0,1
2,155,0,0.0,0.0,0.0,0.0,0,0
2,156,1,0.0,0.0,0.0,0.0,0,0
2,157,2,0.0,0.0,0.0,0.0,0,0
2,158,3,0.0,0.0,0.0,0.0,0,0
2,159,4,0.0,0.0,0.0,0.0,0,1
2,160,5,0.0,0.0,0.0,0.0,0,0
2,161,6,0.0,0.0,0.0,0.0,0,0
2,162,0,0.0,0.0,0.0,0.0,0,1
2,163,1,0.0,0.0,0.0,0.0,0,0
2,164,2,0.0,0.0,0.0,0.0,1,0
2,165,3,0.0,0.0,0.0,0.0,0,0
2,166,4,0.0,0.0,0.0,0.0,0,1
2,167,5,0.0,0.0,0.0,0.0,0,1
